City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
283,Pangnirtung,CA,2021-06-04 23:53:32,66.1451,-65.7125,35.53,86,100,5.23
284,Merauke,ID,2021-06-04 23:53:32,-8.4667,140.3333,78.84,77,100,8.61
285,Kushima,JP,2021-06-04 23:53:32,31.4583,131.2333,68.04,86,100,4.76
286,Taoudenni,ML,2021-06-04 23:53:33,22.6783,-3.9836,96.22,18,57,12.35
287,Vardo,NO,2021-06-04 23:53:33,70.3705,31.1107,44.11,94,92,3.87
288,Sanguem,IN,2021-06-04 23:53:33,15.2333,74.1667,78.28,95,99,4.68
289,Lokoja,NG,2021-06-04 23:53:34,7.8024,6.743,72.9,94,87,4.05
290,Miyako,JP,2021-06-04 23:53:34,39.6367,141.9525,68.5,54,91,2.3
291,Nome,US,2021-06-04 23:50:41,64.5011,-165.4064,36.16,75,75,10.36
292,Touros,BR,2021-06-04 23:50:50,-5.1989,-35.4608,76.1,80,3,11.48
293,Chernyshkovskiy,RU,2021-06-04 23:53:34,48.4219,42.2308,56.59,97,100,5.57
